lat,lon,deltaT,scenario
-84.86197029204237,241.875,-0.10449219,Low Emissions
-84.86197029204237,243.75,-0.14892578,Low Emissions
-84.86197029204237,245.625,-0.09423828,Low Emissions
-84.86197029204237,247.5,0.04899597,Low Emissions
-84.86197029204237,249.375,0.27766418,Low Emissions
-84.86197029204237,251.25,0.36343384,Low Emissions
-84.86197029204237,253.125,0.5390625,Low Emissions
-84.86197029204237,255.0,0.65315247,Low Emissions
-84.86197029204237,256.875,0.8016052,Low Emissions
-84.86197029204237,258.75,0.9428711,Low Emissions
-84.86197029204237,260.625,1.1705627,Low Emissions
-84.86197029204237,262.5,1.4099884,Low Emissions
-84.86197029204237,264.375,1.5108948,Low Emissions
-84.86197029204237,266.25,1.7519531,Low Emissions
-84.86197029204237,268.125,1.7698517,Low Emissions
-84.86197029204237,270.0,1.8362579,Low Emissions
-84.86197029204237,271.875,1.8883514,Low Emissions
-84.86197029204237,273.75,1.9285431,Low Emissions
-84.86197029204237,275.625,1.9601288,Low Emissions
